work_stress,sleep_issues,overwhelm_freq,concentration_diff,relaxation_diff,Stress_Level,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
2,0,0,0,2,1,2,4,2,0,0,2,0,2,0,0,2,0,0,2,1
0,8,1,0,5,0,1,4,0,1,2,2,1,4,1,5,1,4,5,5,2
0,18,1,2,2,1,2,2,2,2,0,2,2,0,0,2,2,0,2,2,1
16,0,1,0,4,0,1,0,4,2,2,2,2,4,1,4,1,4,4,5,2
16,28,0,7,2,0,5,1,0,2,4,0,4,0,1,2,1,5,0,5,1
0,0,1,0,0,0,1,4,0,2,2,1,2,5,2,5,1,4,4,5,2
4,26,0,6,1,2,4,1,1,4,4,4,5,1,4,1,0,2,2,1,0
17,0,1,22,4,0,1,5,0,1,1,1,1,0,2,4,1,4,4,5,2
0,22,1,0,0,1,2,4,0,0,0,0,0,0,2,0,0,0,2,2,1
6,8,0,0,4,0,1,2,0,5,2,2,2,2,1,5,1,5,0,4,1
17,0,1,0,4,0,1,0,4,2,1,1,1,0,1,4,1,4,4,5,2
17,0,1,22,0,0,1,5,5,2,1,1,1,0,1,4,1,5,5,4,2
5,28,0,8,1,2,4,2,2,0,5,5,5,2,4,1,0,1,1,1,0
9,1,1,24,4,0,1,0,1,2,4,0,1,2,0,0,0,1,0,1,2
2,28,0,0,1,2,4,2,1,0,4,4,4,2,5,1,0,1,2,1,0
0,0,0,2,0,1,2,4,2,2,2,2,0,0,0,0,2,0,2,2,1
6,28,0,1,1,2,4,2,1,4,5,4,5,1,5,1,0,2,2,1,0
7,0,0,0,1,2,4,2,2,4,5,4,4,2,5,1,0,1,1,1,0
0,1,0,0,0,1,2,2,0,2,0,0,2,0,2,2,0,0,2,0,1
0,1,1,0,4,0,1,4,4,1,2,1,1,5,2,5,1,4,4,5,2
0,0,0,0,1,2,4,1,1,0,5,4,5,2,5,1,0,1,2,1,0
18,1,1,0,4,0,1,0,5,1,1,2,2,5,1,4,1,4,4,5,2
7,0,0,5,1,2,4,1,1,0,5,5,4,2,5,1,0,1,2,1,0
0,5,1,26,0,0,1,4,4,2,1,2,1,0,1,4,1,5,4,4,2
0,0,1,2,0,1,2,2,0,2,2,0,0,2,0,2,0,0,0,2,1
6,26,0,8,1,2,5,2,2,4,5,4,4,1,4,1,0,2,1,1,0
18,6,1,0,5,0,1,5,0,2,2,1,1,0,1,4,1,5,5,4,2
7,28,0,0,2,0,0,1,5,1,2,5,4,0,2,2,1,1,2,2,0
0,1,1,2,2,1,0,2,0,0,2,0,0,2,0,2,0,2,2,0,1
17,6,1,24,0,0,1,0,5,1,1,1,2,0,1,4,1,4,5,4,2
0,0,0,0,1,2,5,1,2,4,5,4,4,2,4,1,0,2,2,1,0
0,8,0,10,4,0,0,4,1,0,2,5,0,4,2,4,1,0,2,1,1
0,9,1,0,4,0,1,4,5,2,1,2,2,0,2,4,1,4,4,4,2
9,1,0,9,2,1,2,2,2,0,0,2,0,0,2,2,2,0,2,0,1
7,0,0,0,1,2,4,1,1,4,5,5,5,2,4,1,0,1,1,1,0
9,22,0,2,2,1,2,2,0,0,0,0,2,0,2,2,2,0,2,2,1
0,0,0,2,2,1,0,2,2,0,2,0,2,2,2,2,2,2,2,0,1
7,0,0,8,1,2,5,2,2,4,4,5,5,2,5,1,0,1,1,1,0
0,6,1,0,0,0,1,0,5,1,2,1,1,4,1,4,1,5,4,4,2
5,0,0,6,1,2,5,1,1,4,4,4,5,1,4,1,0,1,1,1,0
5,29,0,6,1,2,5,2,2,4,5,5,4,2,4,1,0,2,2,1,0
8,0,0,0,1,2,4,1,2,4,4,5,5,2,4,1,0,1,2,1,0
